seed,grid_size[m],number_grids,simulation_time[h],computation_time[s]
1,100,64,48,21.8947
2,100,64,48,19.4222
3,100,64,48,22.3663
4,100,64,48,31.1037
5,100,64,48,20.61
6,100,64,48,22.4304
7,100,64,48,29.9571
8,100,64,48,20.0919
9,100,64,48,25.4485
10,100,64,48,29.868
11,100,64,48,25.9137
12,100,64,48,24.5788
13,100,64,48,20.1303
14,100,64,48,21.8327
15,100,64,48,38.0858
16,100,64,48,32.5937
17,100,64,48,25.0451
18,100,64,48,23.6346
19,100,64,48,26.9345
20,100,64,48,29.3259
21,100,64,48,28.307
22,100,64,48,34.5339
23,100,64,48,20.0901
24,100,64,48,23.4955
25,100,64,48,26.6598
26,100,64,48,27.8263
27,100,64,48,22.3478
28,100,64,48,29.9843
29,100,64,48,23.5254
30,100,64,48,29.2564
31,100,64,48,39.7619
32,100,64,48,29.2434
33,100,64,48,23.5673
34,100,64,48,24.278
35,100,64,48,20.4975
36,100,64,48,22.2221
37,100,64,48,31.9452
38,100,64,48,24.9041
39,100,64,48,23.9929
40,100,64,48,21.2678
41,100,64,48,31.9487
42,100,64,48,45.8202
43,100,64,48,25.6503
44,100,64,48,24.3479
45,100,64,48,26.9734
46,100,64,48,37.1256
47,100,64,48,29.7224
48,100,64,48,43.0882
49,100,64,48,32.1782
50,100,64,48,43.526
51,100,64,48,33.3832
52,100,64,48,41.9472
53,100,64,48,27.947
54,100,64,48,45.1831
55,100,64,48,30.5534
56,100,64,48,26.5019
57,100,64,48,35.1242
58,100,64,48,42.0262
59,100,64,48,22.2075
60,100,64,48,21.0479
61,100,64,48,27.2077
62,100,64,48,34.1726
63,100,64,48,29.9833
64,100,64,48,25.9628
65,100,64,48,32.9443
66,100,64,48,26.3973
67,100,64,48,26.3128
68,100,64,48,25.4598
69,100,64,48,40.1453
70,100,64,48,29.6852
71,100,64,48,21.7007
72,100,64,48,20.3417
73,100,64,48,24.4149
74,100,64,48,23.6215
75,100,64,48,23.621
76,100,64,48,19.1833
77,100,64,48,26.0458
78,100,64,48,32.5945
79,100,64,48,28.4014
80,100,64,48,21.6167
500,100,64,48,29.9926
501,100,64,48,28.3967
502,100,64,48,34.3981
503,100,64,48,41.7598
504,100,64,48,22.5354
505,100,64,48,24.5321
506,100,64,48,25.2877
507,100,64,48,26.185
508,100,64,48,24.1295
509,100,64,48,19.7628
510,100,64,48,27.6819
511,100,64,48,32.3025
512,100,64,48,26.2007
513,100,64,48,45.4109
514,100,64,48,35.2921
515,100,64,48,29.2532
516,100,64,48,21.9067
517,100,64,48,25.4448
518,100,64,48,29.125
519,100,64,48,39.7633
10001,100,64,48,31.3399
10002,100,64,48,38.5628
10003,100,64,48,44.6006
10004,100,64,48,29.3777
10005,100,64,48,26.8233
10006,100,64,48,39.3598
10007,100,64,48,36.8804
10008,100,64,48,29.1571
10009,100,64,48,31.4437
10010,100,64,48,31.5098
10011,100,64,48,27.8643
10012,100,64,48,26.042
10013,100,64,48,34.81
10014,100,64,48,25.8032
10015,100,64,48,30.0787
10016,100,64,48,36.8209
10017,100,64,48,28.1282
10018,100,64,48,29.2575
10019,100,64,48,35.3271
10020,100,64,48,36.7087
15001,100,128,120,254.8126
15002,100,128,120,158.712
15003,100,128,120,176.5651
15004,100,128,120,156.9947
15005,100,128,120,204.7009
15006,100,128,120,194.4992
15007,100,128,120,155.4522
15008,100,128,120,197.1336
15009,100,128,120,180.7037
15010,100,128,120,175.6232
