temporal_res,n_layers,speed-up(cpu),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
120,12,3.462250418,0.084514983,0.011242887,0.791267812,0.759365559
120,11,3.657074292,0.090425208,0.011375265,0.775152802,0.739769399
120,10,3.871187834,0.086461797,0.01165433,0.793782115,0.758985162
120,9,4.633398512,0.090733878,0.010751726,0.779461086,0.749756932
120,8,5.479014722,0.098905995,0.012101841,0.758670032,0.722352147
120,7,6.175711019,0.100731716,0.012004443,0.758103728,0.722544372
120,6,7.545963131,0.107198432,0.011444064,0.734660864,0.691417038
120,5,8.859282331,0.118072368,0.012142167,0.72190702,0.674289942
120,4,11.45405371,0.136612162,0.012920055,0.675133109,0.621655703
120,3,14.48532464,0.143423587,0.013412418,0.63912946,0.601841211
120,2,22.39317458,0.18350105,0.013851324,0.548490644,0.501098275
120,1,38.42626337,0.227126405,0.014974801,0.389212966,0.377553791
60,9,2.075019041,0.091675937,0.011143385,0.792911112,0.763470173
60,8,2.40006447,0.062907673,0.007950454,0.851679444,0.827213168
60,7,2.905715613,0.088882245,0.010424064,0.776484847,0.754620552
60,6,3.313998523,0.081138238,0.011249145,0.797338367,0.771809459
60,5,3.845524212,0.099503733,0.012946052,0.749313116,0.717156351
60,4,4.639246916,0.116677068,0.012028242,0.722501636,0.673429132
60,3,6.493953471,0.13123706,0.012945147,0.680088401,0.635324895
60,2,8.579685,0.15534094,0.014465677,0.62659061,0.56994617
60,1,17.53728559,0.206279993,0.015548525,0.463499457,0.428647608
30,8,1.46492571,0.095346287,0.013718036,0.791463852,0.759212375
30,7,1.48126199,0.09354274,0.014430423,0.800858855,0.764427125
30,6,1.730500249,0.077528521,0.010869753,0.798459649,0.775712073
30,5,1.973004318,0.091839939,0.011688327,0.791287065,0.763624072
30,4,2.654160722,0.110701576,0.013605148,0.726663172,0.690170288
30,3,3.469980504,0.142642066,0.016734943,0.673398852,0.63152492
30,2,5.111640456,0.1553334,0.015257898,0.637994051,0.594033718
30,1,7.933858575,0.17040351,0.015175481,0.556691766,0.485049158
90,12,2.296320339,0.08574447,0.011566253,0.794951081,0.768758953
90,11,2.477916043,0.088667035,0.011640934,0.792360365,0.763780117
90,10,2.749424013,0.085021108,0.011349527,0.796708822,0.762338042
90,9,3.203124859,0.087102041,0.011583564,0.780751705,0.753596544
90,8,3.58211231,0.093034431,0.011226109,0.781386971,0.751369715
90,7,4.200925463,0.094679564,0.012083145,0.753479481,0.716394663
90,6,4.710633818,0.095043071,0.011289254,0.751995146,0.713857472
90,5,5.726078317,0.107847765,0.012428915,0.722918987,0.688596547
90,4,7.32298454,0.123673059,0.012437701,0.697238564,0.647544742
90,3,9.51312751,0.137593031,0.013358736,0.669389486,0.615116417
90,2,15.00417519,0.170509279,0.013418907,0.573795497,0.507818341
90,1,27.47967095,0.219275624,0.015310591,0.425259918,0.406509727
