temporal_res,n_layers,speed-up(cuda),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
120,12,74.27996708953177,0.08451447635889053,0.011242851614952087,0.7912701368331909,0.7593653202056885
120,11,76.45063626389226,0.09042569249868393,0.011375266127288342,0.7751534581184387,0.739769458770752
120,10,84.15468306749361,0.08646409213542938,0.011654588393867016,0.7937854528427124,0.7589753866195679
120,9,89.57142547713755,0.0907282754778862,0.010751910507678986,0.7794395685195923,0.7497669458389282
120,8,99.90352207531078,0.09890448302030563,0.012102114036679268,0.7586761713027954,0.7223681807518005
120,7,111.03973250738582,0.1007382869720459,0.012004374526441097,0.7581002116203308,0.722533643245697
120,6,126.81065719192443,0.10719578713178635,0.011443793773651123,0.7346594929695129,0.6914210915565491
120,5,148.66039207487958,0.11807260662317276,0.012142176739871502,0.7219060063362122,0.6742863655090332
120,4,179.4002263149549,0.13661198318004608,0.01292005181312561,0.6751320958137512,0.6216598749160767
120,3,222.4845413380411,0.14342252910137177,0.013411006890237331,0.6391249895095825,0.6018393635749817
120,2,310.2767457825318,0.18350109457969666,0.013851325027644634,0.5484917759895325,0.5010969042778015
120,1,528.2104512794774,0.22712640464305878,0.014974802732467651,0.3892129063606262,0.3775538504123688
60,9,47.26171062957593,0.09154639393091202,0.0111304996535182,0.7933582067489624,0.7636957764625549
60,8,52.16698088559584,0.07245621830224991,0.00953588169068098,0.8226132392883301,0.7947754859924316
60,7,58.77881934598025,0.08912581205368042,0.01043813955038786,0.7765318751335144,0.754672646522522
60,6,66.74498200820783,0.08114420622587204,0.011251437477767467,0.7972937822341919,0.7718105912208557
60,5,77.6466199579277,0.09920046478509903,0.01291793305426836,0.7501187324523926,0.7176935076713562
60,4,92.14732079282251,0.11663474887609482,0.012040249072015285,0.7226270437240601,0.6734974980354309
60,3,114.71986025363631,0.1313720941543579,0.012949541211128235,0.6795399785041809,0.6347914934158325
60,2,149.73446081216397,0.15530447661876678,0.014484583400189877,0.626562237739563,0.5701173543930054
60,1,257.0499582962909,0.20628105103969574,0.01554868370294571,0.4635026454925537,0.4286437928676605
30,8,26.344793191875056,0.09472104161977768,0.013941630721092224,0.7930095791816711,0.7602711915969849
30,7,29.878561849157563,0.0939531922340393,0.014346382580697536,0.7985249757766724,0.7639650106430054
30,6,34.274394527721114,0.07737143337726593,0.01078735664486885,0.7977286577224731,0.7750887274742126
30,5,40.36164909293906,0.09266387671232224,0.011787192896008492,0.7893879413604736,0.7627900838851929
30,4,48.32937402978647,0.11116447299718857,0.013841814361512661,0.7253438234329224,0.6900928616523743
30,3,62.59765973061352,0.14291062951087952,0.01682332158088684,0.6729291677474976,0.6310227513313293
30,2,82.46779043589113,0.15536324679851532,0.01524402480572462,0.6382248997688293,0.5939195156097412
30,1,128.91147797305132,0.170379638671875,0.015180624090135098,0.5568166375160217,0.4852360785007477
90,12,54.60331485110214,0.08574499189853668,0.01156625896692276,0.7949486970901489,0.7687515616416931
90,11,58.21274974904884,0.08866793662309647,0.011640604585409164,0.7923496961593628,0.7637828588485718
90,10,63.51049407966237,0.08501949161291122,0.011349624954164028,0.7967618107795715,0.7624045014381409
90,9,69.23890492903323,0.08710435777902603,0.011583621613681316,0.7807504534721375,0.7535887956619263
90,8,77.12399915503627,0.09303277730941772,0.011226112022995949,0.7813984155654907,0.7513638734817505
90,7,86.20638764113787,0.09465572983026505,0.012080877088010311,0.7534785270690918,0.716500997543335
90,6,98.79949783003406,0.09504576772451401,0.011290047317743301,0.7519542574882507,0.7138565182685852
90,5,113.70793131981955,0.10786445438861847,0.012429429218173027,0.7229039072990417,0.6885539889335632
90,4,134.505290325992,0.12367730587720871,0.012437782250344753,0.697274386882782,0.6475093364715576
90,3,168.71304450670007,0.13759298622608185,0.013358700089156628,0.6693898439407349,0.6151185035705566
90,2,227.283228775581,0.1705092340707779,0.013418905436992645,0.5737969279289246,0.507818341255188
90,1,408.3872315197981,0.2192751169204712,0.01531058270484209,0.4252595901489258,0.4065091609954834
