hid_features,n_layers,total_parameters,speed-up(cuda),h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
64,9,107786,47.40429204,0.091675937,0.011143385,0.792911112,0.763470173
64,8,103690,52.93749717,0.062907673,0.007950454,0.851679444,0.827213168
64,7,99594,58.23480902,0.088882245,0.010424064,0.776484847,0.754620552
64,6,95498,67.23110064,0.081138238,0.011249145,0.797338367,0.771809459
64,5,91402,78.13043519,0.099503733,0.012946052,0.749313116,0.717156351
64,4,87306,91.82103265,0.116677068,0.012028242,0.722501636,0.673429132
64,3,83210,114.1764588,0.13123706,0.012945147,0.680088401,0.635324895
64,2,79114,151.5173391,0.15534094,0.014465677,0.62659061,0.56994617
64,1,75018,243.951285,0.206279993,0.015548525,0.463499457,0.428647608
32,9,27274,45.9899011,0.102544703,0.012329313,0.747008204,0.718897521
32,8,26250,50.92478848,0.104922973,0.011134789,0.783670187,0.738351047
32,7,25226,57.86942652,0.088865377,0.010881668,0.794949353,0.761024892
32,6,24202,66.23414245,0.09405192,0.011015955,0.771115601,0.734173
32,5,23178,77.27903942,0.102716364,0.011442358,0.737454534,0.711138189
32,4,22154,91.81987102,0.111309804,0.012046421,0.725453556,0.69046855
32,3,21130,112.8673171,0.130200505,0.013050817,0.68173945,0.636571825
32,2,20106,159.0125301,0.169496506,0.015593144,0.58437252,0.544861436
32,1,19082,259.0663836,0.264923126,0.02346018,0.46968469,0.445446908
16,9,6986,46.47170284,0.0952245,0.011637447,0.761332154,0.735517979
16,8,6730,51.83804778,0.099420331,0.013188857,0.756186187,0.72655952
16,7,6474,58.21319401,0.107495144,0.012091974,0.74799788,0.71124351
16,6,6218,66.50687165,0.092384554,0.010517079,0.767407775,0.738364875
16,5,5962,78.14090738,0.105030015,0.01219853,0.734543204,0.700976312
16,4,5706,93.52936287,0.115159012,0.013164031,0.705494702,0.676104844
16,3,5450,117.3958331,0.129500598,0.013425142,0.673723459,0.640928864
16,2,5194,162.4416711,0.165003344,0.01679856,0.623409808,0.57649225
16,1,4938,252.0216953,0.218221977,0.017680382,0.441838264,0.418139786
8,9,1834,46.82885807,0.130296409,0.012955097,0.689991593,0.644956291
8,8,1770,52.22121015,0.166310579,0.014230897,0.588649869,0.551066399
8,7,1706,58.4054305,0.125375554,0.012805912,0.690912008,0.647973061
8,6,1642,66.94518402,0.118455566,0.013095498,0.707579494,0.676326454
8,5,1578,78.67635038,0.134154916,0.01444014,0.675924301,0.635342777
8,4,1514,94.45682364,0.142467767,0.017005807,0.672219932,0.627115846
8,3,1450,116.7165502,0.186616302,0.016041916,0.571905732,0.520174325
8,2,1386,155.1772632,0.179593816,0.015525438,0.581560791,0.539825082
8,1,1322,262.8910732,0.280581713,0.016911482,0.173251987,0.196078092
