rollout_steps,h_RMSE,q_RMSE,CSI_0.05,CSI_0.3
9,0.07844892889261246,0.01082365121692419,0.8132408261299133,0.7887619733810425
8,0.07228916138410568,0.009531304240226746,0.8232263326644897,0.7952328324317932
7,0.08112061023712158,0.010056156665086746,0.805097222328186,0.7700482606887817
6,0.0879017785191536,0.01107617374509573,0.780841052532196,0.7493351101875305
5,0.0921509638428688,0.010704263113439083,0.7874071598052979,0.7599709630012512
4,0.10230698436498642,0.011400830931961536,0.7503267526626587,0.7232745885848999
3,0.0980403795838356,0.012157718650996685,0.7387920618057251,0.7202742099761963
2,0.13566628098487854,0.012804979458451271,0.6856153607368469,0.6548148393630981
1,0.17479228973388672,0.019299322739243507,0.5908875465393066,0.5484278202056885
